customer_id,credit_score,credit_history_length,number_of_accounts,total_credit_limit,credit_utilization,payment_history,public_records
CUST_000001,742,21,4,7901,0.303,0.912,0
CUST_000002,565,3,2,3545,0.73,0.644,0
CUST_000003,754,10,3,43267,0.168,0.965,0
CUST_000004,792,47,1,40709,0.002,0.98,0
CUST_000005,850,10,4,41860,0.012,0.956,0
CUST_000006,576,0,3,500,0.597,0.621,1
CUST_000007,719,22,3,18472,0.214,0.936,0
CUST_000008,593,0,3,4132,0.799,0.749,0
CUST_000009,791,12,1,2417,0.11,0.997,0
CUST_000010,579,3,2,6691,0.143,0.637,0
CUST_000011,644,35,2,3436,0.65,0.736,0
CUST_000012,850,1,4,17607,0.293,0.996,0
CUST_000013,732,2,4,46834,0.427,0.866,0
CUST_000014,603,0,8,5469,0.465,0.703,0
CUST_000015,557,1,1,3665,0.533,0.605,0
CUST_000016,824,4,5,11491,0.299,0.984,0
CUST_000017,736,5,9,5204,0.456,0.862,0
CUST_000018,740,0,4,13950,0.536,0.94,0
CUST_000019,714,0,3,595,0.115,0.89,0
CUST_000020,630,5,3,15393,0.39,0.709,0
CUST_000021,816,12,4,8922,0.26,0.967,0
CUST_000022,631,0,3,8274,0.624,0.703,0
CUST_000023,823,13,3,56895,0.203,0.994,0
CUST_000024,687,4,3,10903,0.412,0.936,0
CUST_000025,613,0,2,500,0.547,0.78,0
CUST_000026,759,3,4,3982,0.166,0.988,0
CUST_000027,600,0,4,1785,0.705,0.611,0
CUST_000028,712,2,5,22207,0.567,0.912,0
CUST_000029,850,16,6,29256,0.051,1.0,0
CUST_000030,814,13,3,14373,0.074,0.991,0
CUST_000031,850,3,1,33340,0.014,0.954,0
CUST_000032,824,0,3,14766,0.382,0.95,0
CUST_000033,844,4,6,3934,0.187,0.97,0
CUST_000034,825,2,2,33486,0.051,0.973,0
CUST_000035,686,14,3,14869,0.352,0.912,0
CUST_000036,785,15,6,9437,0.106,0.991,0
CUST_000037,682,7,3,8733,0.422,0.865,0
CUST_000038,756,23,2,1418,0.197,0.951,0
CUST_000039,649,0,3,7300,0.56,0.743,0
CUST_000040,850,6,5,125791,0.168,0.97,0
CUST_000041,659,0,3,8242,0.269,0.921,0
CUST_000042,504,13,0,10581,0.684,0.775,0
CUST_000043,729,0,4,2599,0.329,0.912,0
CUST_000044,716,4,2,39253,0.855,0.867,0
CUST_000045,507,0,0,26683,0.621,0.62,0
CUST_000046,724,0,1,1251,0.4,0.859,0
CUST_000047,641,0,4,2934,0.657,0.636,0
CUST_000048,737,2,4,5775,0.261,0.911,0
CUST_000049,739,10,3,17748,0.416,0.876,0
CUST_000050,850,9,5,45874,0.288,0.992,0
CUST_000051,713,28,7,14917,0.63,0.92,0
CUST_000052,668,4,2,34201,0.38,0.949,0
CUST_000053,757,8,2,26450,0.036,0.999,0
CUST_000054,850,25,3,61142,0.323,0.951,0
CUST_000055,796,20,4,3817,0.275,0.986,0
CUST_000056,668,2,3,20831,0.345,0.869,0
CUST_000057,825,25,13,21043,0.299,0.952,0
CUST_000058,736,5,6,4388,0.635,0.93,0
CUST_000059,605,0,6,2353,0.636,0.685,0
CUST_000060,624,0,4,14747,0.325,0.727,0
CUST_000061,621,11,6,12901,0.34,0.702,0
CUST_000062,850,9,2,18640,0.157,0.972,0
CUST_000063,712,7,2,1382,0.392,0.86,0
CUST_000064,629,21,4,45055,0.508,0.632,0
CUST_000065,850,5,4,36690,0.395,0.965,0
CUST_000066,636,0,1,1547,0.542,0.625,0
CUST_000067,784,3,2,24986,0.23,0.985,0
CUST_000068,624,6,0,18669,0.566,0.674,0
CUST_000069,844,11,4,22118,0.584,0.99,0
CUST_000070,850,26,8,48374,0.229,0.957,0
CUST_000071,850,3,4,49102,0.178,0.958,0
CUST_000072,812,0,3,9759,0.413,0.971,0
CUST_000073,775,13,3,26056,0.258,0.997,0
CUST_000074,661,11,3,3446,0.748,0.904,0
CUST_000075,745,1,7,5532,0.37,0.865,0
CUST_000076,686,5,5,28705,0.462,0.915,0
CUST_000077,850,9,5,21730,0.009,0.963,0
CUST_000078,738,0,4,16272,0.265,0.89,0
CUST_000079,771,9,4,4712,0.286,0.955,0
CUST_000080,635,1,2,21938,0.839,0.803,0
CUST_000081,762,11,5,23285,0.587,0.977,0
CUST_000082,618,0,4,2038,0.556,0.63,0
CUST_000083,759,8,2,41608,0.316,0.992,0
CUST_000084,850,0,3,63929,0.209,0.996,0
CUST_000085,813,17,6,25969,0.09,1.0,0
CUST_000086,803,5,7,9728,0.273,0.986,0
CUST_000087,850,15,6,8780,0.039,0.996,0
CUST_000088,489,1,0,9658,0.681,0.653,0
CUST_000089,665,0,4,9567,0.285,0.923,0
CUST_000090,678,1,2,8408,0.146,0.876,0
CUST_000091,850,12,4,80630,0.001,0.98,0
CUST_000092,849,0,5,3973,0.095,0.979,0
CUST_000093,597,1,1,7122,0.808,0.737,0
CUST_000094,821,6,5,14300,0.068,0.973,0
CUST_000095,850,21,6,24696,0.032,0.989,0
CUST_000096,751,48,2,7684,0.031,0.991,0
CUST_000097,635,0,2,16279,0.501,0.686,0
CUST_000098,767,3,2,8698,0.493,0.951,0
CUST_000099,742,16,3,4371,0.588,0.919,0
CUST_000100,850,11,2,8388,0.037,0.972,0
CUST_000101,819,6,10,2802,0.094,0.95,0
CUST_000102,773,9,4,8231,0.114,0.956,0
CUST_000103,827,6,6,68994,0.227,0.953,0
CUST_000104,796,0,5,8058,0.042,0.991,0
CUST_000105,703,16,6,969,0.13,0.917,0
CUST_000106,754,25,3,500,0.143,0.971,0
CUST_000107,794,0,4,12963,0.098,0.958,0
CUST_000108,850,0,2,3588,0.302,0.96,0
CUST_000109,850,17,4,24552,0.705,0.965,0
CUST_000110,785,0,6,27711,0.036,0.999,0
CUST_000111,850,0,5,10785,0.012,0.997,0
CUST_000112,717,0,2,1154,0.481,0.893,0
CUST_000113,459,0,2,1341,0.865,0.655,0
CUST_000114,786,30,2,19444,0.11,0.977,0
CUST_000115,699,0,4,4560,0.408,0.941,0
CUST_000116,691,3,2,21301,0.633,0.901,0
CUST_000117,703,5,3,16150,0.105,0.921,0
CUST_000118,640,1,7,11038,0.803,0.613,0
CUST_000119,834,9,5,15063,0.354,0.961,0
CUST_000120,850,5,5,6517,0.51,0.997,0
