customer_id,customer_age,annual_income,employment_status,account_tenure,product_holdings,relationship_value,risk_segment,behavioral_score,credit_score,city,last_activity_date
CUST_000001,47,57726.04,Full-time,2,2,13854.25,Near-Prime,221.73,742,Newcastle,2025-07-14
CUST_000002,22,37938.4,Full-time,3,2,9863.98,Subprime,586.23,565,Birmingham,2025-07-10
CUST_000003,37,68477.75,Self-employed,2,5,41086.65,Prime,23.43,754,Liverpool,2025-07-22
CUST_000004,71,94196.78,Retired,5,5,70647.59,Prime,484.24,792,Manchester,2025-07-20
CUST_000005,54,65625.57,Full-time,5,2,19687.67,Prime,274.0,850,Bristol,2025-07-19
CUST_000006,18,10380.07,Part-time,0,2,2076.01,Subprime,469.76,576,Liverpool,2025-07-15
CUST_000007,53,70616.83,Full-time,2,3,25422.06,Near-Prime,253.49,719,Glasgow,2025-07-13
CUST_000008,18,10659.94,Student,2,1,1279.19,Subprime,183.74,593,Liverpool,2025-08-04
CUST_000009,61,7186.39,Unemployed,5,5,5389.79,Prime,198.77,791,Cardiff,2025-07-13
CUST_000010,25,20476.03,Full-time,0,2,4095.21,Subprime,32.56,579,Sheffield,2025-08-06
CUST_000011,41,30722.25,Full-time,1,2,6758.89,Subprime,131.48,644,Manchester,2025-07-29
CUST_000012,23,29737.52,Full-time,4,2,8326.51,Prime,444.57,850,Sheffield,2025-07-10
CUST_000013,84,83172.23,Retired,1,3,27446.84,Near-Prime,422.21,732,Leeds,2025-07-10
CUST_000014,18,14050.95,Student,2,2,3372.23,Subprime,543.45,603,London,2025-07-13
CUST_000015,25,7597.22,Unemployed,1,2,1671.39,Subprime,249.36,557,Newcastle,2025-07-19
CUST_000016,41,41884.73,Full-time,10,5,41884.73,Prime,492.33,824,Newcastle,2025-07-20
CUST_000017,64,86391.71,Full-time,2,2,20734.01,Near-Prime,424.77,736,London,2025-08-02
CUST_000018,26,45241.52,Part-time,1,1,4976.57,Near-Prime,189.72,740,Leeds,2025-08-07
CUST_000019,18,2542.39,Student,5,2,762.72,Near-Prime,132.72,714,Cardiff,2025-07-10
CUST_000020,43,38047.06,Part-time,0,1,3804.71,Subprime,285.09,630,Leeds,2025-08-05
